Component name,Qnty,Price /unit ($),Total Price ($),Link
Esp Fire Bettle p4,1,29,29,https://www.aliexpress.com/item/1005009957140931.html?spm=a2g0o.cart.0.0.183938daHyc8q3&mp=1&pdp_npi=5%40dis%21USD%21USD%2028.42%21USD%2028.42%21%21USD%2028.42%21%21%21%40212e508f17658774024801674e0a28%2112000050686167323%21ct%21BD%21-1%21%211%210
Esp32 Ai cam,1,27.85,27.85,https://www.aliexpress.com/item/1005009957140931.html?spm=a2g0o.cart.0.0.183938daHyc8q3&mp=1&pdp_npi=5%40dis%21USD%21USD%2028.42%21USD%2028.42%21%21USD%2028.42%21%21%21%40212e508f17658774024801674e0a28%2112000050686167323%21ct%21BD%21-1%21%211%210
MICS4514,1,15.75,15.75,https://www.aliexpress.com/item/1005009290653816.html?spm=a2g0o.cart.0.0.183938daHyc8q3&mp=1&pdp_npi=5%40dis%21USD%21USD%2016.94%21USD%2015.75%21%21USD%2015.75%21%21%21%402140f54217658791943986864e8937%2112000048631953958%21ct%21BD%21-1%21%211%210&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D
Tempareture Sensor,1,1.74,1.74,https://www.aliexpress.com/item/1005007379416611.html?spm=a2g0o.cart.0.0.183938daHyc8q3&mp=1&pdp_npi=5%40dis%21USD%21USD%204.24%21USD%204.24%21%21USD%204.24%21%21%21%402140f54217658792462678405e8937%2112000040495726382%21ct%21BD%21-1%21%211%210&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D
PM2 Dust Sensor,1,23.38,23.38,https://www.aliexpress.com/item/1005009999823410.html?spm=a2g0o.cart.0.0.183938daHyc8q3&mp=1&pdp_npi=5%40dis%21USD%21USD%2023.38%21USD%2023.38%21%21USD%2023.38%21%21%21%402140f54217658792462678405e8937%2112000050803413710%21ct%21BD%21-1%21%211%210
RS485 output soil moisture and temperature sensor,1,76.65,76.65,https://www.aliexpress.com/item/1005010198960910.html?spm=a2g0o.cart.0.0.183938daHyc8q3&mp=1&pdp_npi=5%40dis%21USD%21USD%2080.68%21USD%2076.65%21%21USD%2076.65%21%21%21%402102f22c17658794267285545e9c1b%2112000051499166310%21ct%21BD%21-1%21%211%210
10k Potentiometer,1,5.77,5.77,https://www.aliexpress.com/item/1005009674781114.html?spm=a2g0o.cart.0.0.183938daHyc8q3&mp=1&pdp_npi=5%40dis%21USD%21USD%2012.55%21USD%203.27%21%21USD%203.27%21%21%21%402102f22c17658795881451305e9c1b%2112000049833372002%21ct%21BD%21-1%21%211%210
GPS Module NEO-7N Satellite Positioning STM32 NEO 7N,1,9.14,9.14,https://www.aliexpress.com/item/1005010018361189.html?spm=a2g0o.cart.0.0.183938daHyc8q3&mp=1&pdp_npi=5%40dis%21USD%21USD%209.14%21USD%209.14%21%21USD%209.14%21%21%21%402102f22c17658795993581552e9c1b%2112000050853918710%21ct%21BD%21-1%21%211%210
SIM800C Development Board GSM ,1,9.83,9.83,https://www.aliexpress.com/item/4000043123733.html?spm=a2g0o.cart.0.0.183938daHyc8q3&mp=1&pdp_npi=5%40dis%21USD%21USD%209.83%21USD%207.33%21%21USD%207.33%21%21%21%402102f22c17658796766883229e9c1b%2112000037456817818%21ct%21BD%21-1%21%211%210
0.96 Inch OLED Display Screen SSD1315 SSD1306,1,4.63,4.63,https://www.aliexpress.com/item/1005008558168380.html?spm=a2g0o.cart.0.0.183938daHyc8q3&mp=1&pdp_npi=5%40dis%21USD%21USD%209.65%21USD%204.63%21%21USD%204.63%21%21%21%402102f22c17658797753125723e9c1b%2112000045703280970%21ct%21BD%21-1%21%211%210
1pcs 18x30cm Stripboard Veroboard vero Board ,1,9.99,9.99,https://www.aliexpress.com/item/32533484942.html?spm=a2g0o.cart.0.0.183938daHyc8q3&mp=1&pdp_npi=5%40dis%21USD%21USD%209.99%21USD%209.99%21%21USD%209.99%21%21%21%402102f22c17658798463677437e9c1b%2157825343599%21ct%21BD%21-1%21%211%210
1-8PCS KY-040 360 Degrees Rotary Encoder Module,1,2.93,2.93,https://www.aliexpress.com/item/1005006551162496.html?spm=a2g0o.cart.0.0.183938daHyc8q3&mp=1&pdp_npi=5%40dis%21USD%21USD%208.61%21USD%202.43%21%21USD%202.43%21%21%21%402102f22c17658798836418430e9c1b%2112000037644212083%21ct%21BD%21-1%21%211%210
Delivery charge,,,73.09,
JLC PCB ,,,21.46,
Total,,,311.21,